product_id,sku,title,spec_sheet_url
6770293932076,"SF.04-D3R","Parisi Stella Wall Mixer & Diverter - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255474929818
6770295046188,"TO.03F","Parisi Tondo Freestanding Bath Spout - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7453654614170
6770296455212,"SR.03HSD","Parisi Stella Swivel Spout & Diverter 150mm - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255475421338
6770301337644,"QCR.00.CH","Parisi Cross Wall Top Assemblies - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255478075546
6770302058540,"QCU.01-3H","Parisi Cube Basin-Bath Set - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255477551258
6770310840364,"EX.01-1HB","Parisi Exo Bidet Mixer - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255482925210
6770310971436,"EX.05QF","Parisi Exo Wall Mixer Small - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7268518133914
6770311135276,"EX.04-D2P","Parisi Exo Mixer with 2-Way Diverter - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255482957978
6770317819948,"QQ.01-1HA","Parisi Quadro Swivel Basin Mixer - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255475716250
6770318049324,"QQ.06-2HS","Parisi Quadro Hob Mixer Square Swivel Spout - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255477289114
6770318278700,"QQ.06-2HS.LT","Parisi Quadro Hob Mixer Curved Swivel Spout - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255477321882
6770318540844,"QQ.06-2HHS","Parisi Quadro Hob Mixer & Hand Shower - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255477256346
6770318770220,"QQ.06-1H","Parisi Quadro Hob Mixer - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255477190810
6770318999596,"QQ.05QF","Parisi Quadro Wall Mixer Small Plate - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255477158042
6770319196204,"QQ.04-D2Q","Parisi Quadro Wall Mixer 2-Way Diverter - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255476994202
6770319360044,"QQ.04-D3Q","Parisi Quadro Wall Mixer 3-Way Diverter - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255477059738
6770319556652,"QQ.04-D2Q-A","Parisi Quadro Mixer  2-Way Diverter & Hand Shower - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255477026970
